brand_A	brand_B	replacable
Joseph A	Joseph Abboud	0
BLUE	Canyon River Blues	0
BLUE	Kimchi Blue	0
BLUE	Blue Life	0
BLUE	Paris Blues	0
BLUE	Blue Microphones	0
BLUE	Blue Asphalt	0
BLUE	Ralph Lauren Blue Label	0
BLUE	Liquid Blue	0
BLUE	L.A. Blues	0
BLUE	Christopher Blue	0
BLUE	Anchor Blue	0
BLUE	Carolina Blues	0
BLUE	Blue Buffalo	0
BLUE	Blue Box	0
BLUE	Mainstreet Blues	0
BLUE	Blue Cult	0
BLUE	Blue Bird	0
BLUE	Blue Nile	0
BLUE	Blue Magic®	0
Tiger	Tigerlily	0
Tiger	Onitsuka Tiger	0
Tiger	Tiger Woods	0
CLEAN	Clean & Clear	1
Casual	Casual Corner	0
Casual	Casual Corner Annex	0
Casual	Casual Industrees	0
Casual	Onque Casuals	0
Warehouse	Men's Warehouse	1
Savvy	Sport Savvy	1
Roots	Zion Rootswear	0
Moth	Motherhood Maternity	0
Moth	Motherhood	0
Moth	Oh Baby by Motherhood	0
Moth	MOTHER	0
Moth	Planet Motherhood	0
Moth	Not Your Mother's	0
Elan	Antonio Melani	0
Elan	Michaelangelo	0
Elan	Kathy Van Zeeland	0
Elan	Cleveland Golf	0
Elan	Melannco	0
Elan	kathy ireland	0
Elan	Marineland	0
Elan	KiddieLand	0
Rustler	Rustlers	1
Martin Margiela	Maison Martin Margiela	1
Martin Margiela	Maison Martin Margiela for H&M	1
Hourglass	Hourglass Cosmetics	1
Armani	Georgio Armani	1
Armani	A|X Armani Exchange	1
Armani	Armani Collezioni	1
Armani	Emporio Armani	1
Armani	Armani Jeans	1
Armani	Giorgio Armani	1
Armani	A/X Armani Exchange	1
Armani	Armani Exchange	1
Chic	Schick	0
Chic	Chicco	0
Chic	Chico's	0
Chic	Boho Chic	0
Chic	miss chic	0
Chic	Shabby Chic	0
Chic	City Chic	0
Chic	Happy Chic Baby by Jonathan Adler	0
Chic	Jollychic.com	0
Chic	Mimi Chica	0
Chic	Chicago	0
Chic	Retro Chic	0
Chic	Pink Chicken	0
Simple	SimpleHuman	0
Brut	Brute	0
Brut	Giorgio Brutini	0
IMAN	Neiman Marcus	0
IMAN	Shimano Fishing	0
IMAN	Shimano	0
Kenneth Cole	Kenneth Cole New York	1
Kenneth Cole	Kenneth Cole Reaction	1
Rainbow	Rainbow Shops	1
Miller	Nicole Miller	0
Miller	Nicole by Nicole Miller	0
Miller	Howard Miller	0
Miller	Miller's Forge	0
Armani Exchange	A|X Armani Exchange	1
Armani Exchange	A/X Armani Exchange	1
Friskies	Purina Friskies	1
Franco	Franco Sarto	0
Franco	Gianfranco Ferre	0
Franco	Eva Franco	0
Step	One Step Up	0
Step	Stephen Webster	0
Step	InStep	0
Vantage	Advantage	0
Halston	Halston Heritage	0
Thor	Port Authority	0
Nathan	Happy Chic Baby by Jonathan Adler	0
Nathan	Jonathan Martin	0
Nathan	Jonathan Adler	0
Micros	Microsoft	0
Wellness	Hair Wellness Solutions	0
Magic	Magic Bullet	0
Magic	Baby Magic	0
Magic	Magicsuit	0
Magic	Paper Magic	0
Magic	The Magic Bullet	0
Magic	Magic Sports	0
Magic	MagicFiber	0
Magic	Blue Magic®	0
Magic	Magic Chef	0
Tiara	Tiara International	1
Athlete	Athletech	1
Filter	Polar Pro Filters	0
Curve	Learning Curve	0
Curve	Curves	0
Cremieux	Daniel Cremieux	1
Tria	Triangl	0
Tria	Industrial Cotton	0
Tria	City Triangles	0
Tria	triangl swimwear	0
AMIA	Mamia	0
Focus	En Focus Studio	0
ROCKY	Rocky Brands, Inc.	1
Josie	Josie Natori	0
Josie	Josie Maran	0
Expressions	Urban Expressions	0
Expressions	Auto Expressions	0
Expressions	Natural Expressions	0
Expressions	Elegant Expressions	0
Elements	Grace Elements	0
Elements	Classic Elements	0
Elements	Bioelements	0
Blackhawk	BLACKHAWK!	1
Power A	All-Power America	0
Tracy Reese	plenty by Tracy Reese	1
Ruth	Truth & Pride	0
Ware	Tupperware	0
Ware	CorningWare	0
Ware	Farberware	0
Ware	CritterWare	0
Ware	Restoration Hardware	0
Ware	Warehouse	0
Ware	Jazwares	0
Ware	Men's Warehouse	0
Ware	VillaWare	0
Little Me	Little Me Childrens Wear	1
Nair	Conair	0
Nair	Lunaire	0
Nair	Billionaire Boys Club	0
Nair	Billionaire Boys Club and Ice Cream	0
Tano	Gitano	0
Advent	Animal Adventure	0
Akai	Lakai	0
Kryptonics	Kryptonics Skateboards	1
Essentials	Amazon Essentials	0
Essentials	Baby Essentials	0
Essentials	Cooks Essentials	0
Essentials	Essentials by Milano	0
Essentials	St. Tropez Tanning Essentials	0
Reach	Arm's Reach Concepts	0
Dragon	Dragon Ball Z	0
Dragon	Dragon Alliance	0
Dragon	Dragonfly	0
JACO	MARC JACOBS	0
JACO	MARC BY MARC JACOBS	0
Alia	UGG Australia	0
Alia	Quay Australia	0
Alia	CALIA by Carrie Underwood	0
Alia	Dalia	0
Alia	Gevalia	0
Alia	Australian Gold	0
Shell	Laundry by Shelli Segal	0
Shell	Peanut Shell	0
Shell	The Peanut Shell	0
Combi	Combi International	1
Imagine	Imaginext	0
Imagine	Imagine Baby	0
Tile	Volatile	0
Tile	Living Textiles	0
HUGO	BOSS HUGO BOSS	1
HUGO	Hugo Boss	1
JUMP	Jumping Beans	0
JUMP	Jump Apparel	0
Akris	Akris punto	1
Gottex	Profile by Gottex	1
Upspring	UpSpring Baby	1
Religion	True Religion Brand Jeans	0
Religion	True Religion	0
Gear	Tek Gear	0
Gear	Dogeared	0
Gear	Netgear	0
Gear	Pet Gear	0
Gear	Go Gear	0
Gear	Musician's Gear	0
Gear	Game Gear	0
Gear	Baby Gear	0
Gear	L.A. Gear	0
Gear	Fitness Gear	0
Gear	Field Gear	0
Gear	dreamGEAR	0
Gear	GEAR FOR SPORTS	0
Gear	NBN Gear	0
Gear	Gearbox	0
Gear	Smart Gear	0
Gear	Ingear	0
Gear	Fixgear	0
Gear	Big Boy Gear	0
Jonathan Adler	Happy Chic Baby by Jonathan Adler	1
Castle	Crooks & Castles	1
Margarita	Margaritaville	1
District	District Threads	1
Cyrus	Miley Cyrus	1
Dazzle	Shoe Dazzle	0
Dazzle	Dazzle Multimedia	0
Dazzle	Dream Dazzlers	0
Square	Dsquared	0
Square	Square Enix	0
Square	Harvard Square	0
Square	Love Squared	0
Excell	Excelled	0
Blank	BLANKNYC	1
Blank	Blank NYC	1
DeLONG	DeLonghi	0
Lowa	Holloway	0
Cooper	Cooperative	0
Maya	The Maya Group	0
Rowan	Rena Rowan	0
Buxton	Buxton Leather Goods	0
Oris	Glamorise	0
Oris	Doris	0
Choppers	West Coast Choppers	0
Publish	Sterling Publishing	0
Publish	HarperCollins Publishers	0
Publish	Phidal Publishing	0
Peanut Shell	The Peanut Shell	1
Ambi	Ambiance Apparel	0
Ambi	Cambio	0
Badger	Badger Basket	0
Everly	Anastasia Beverly Hills	0
Everly	Beverly Hills Polo Club	0
Everly	Everly Grey	0
Everly	Beverly Drive	0
Everly	Beverly Hills MD	0
Reed	Reeds Jewelers	0
Reed	Austin Reed	0
Reed	Creed	0
Splash	Pampers Splashers	0
Splash	LA Splash	0
Tess	Eastessence	0
Tess	Tessuto	0
Deni	Paige Denim	0
Deni	Paper Denim & Cloth	0
Deni	Antik Denim	0
Deni	Denim & Co.	0
Deni	Denim & Supply Ralph Lauren	0
Deni	Genetic Denim	0
Deni	Hilfiger Denim	0
Deni	Denim Riders	0
Deni	Frame Denim	0
Deni	McGuire Denim	0
Deni	Raven Denim	0
Deni	Divine Rights of Denim	0
Persona	Customized & Personalized	0
Iams	Williams Sonoma	0
ULTra	Ultra Flirt	0
ULTra	Ultra Pro	0
ULTra	Sultra	0
Premier	Premier Designs	0
Cardi	Cardinal Industries	0
Cardi	Pierre Cardin	0
Cardi	Cardinal of Canada	0
Cardi	Cardinal	0
Flirt	Ultra Flirt	0
Flirt	Flirtitude	0
Kendall	Kendall & Kylie	1
Giovanni	Giovanni Navarre	1
Cynthia Vincent	Twelfth Street by Cynthia Vincent	1
Mani	Georgio Armani	0
Mani	A|X Armani Exchange	0
Mani	Manic Panic	0
Mani	Armani Collezioni	0
Mani	Citizens of Humanity	0
Mani	Folkmanis	0
Mani	Emporio Armani	0
Mani	Armani Jeans	0
Mani	Giorgio Armani	0
Mani	Citizens of Humanity Jeans	0
Mani	A/X Armani Exchange	0
Mani	Cards Against Humanity	0
Mani	Armani	0
Mani	Armani Exchange	0
Mani	Red Carpet Manicure	0
Russell	Russell Athletic	0
Orajel	Baby Orajel	1
Itech	Logitech	0
Innova	Accessory Innovations	0
Innova	Micro Innovations	0
Innova	Innovative Designs	0
Innova	Automotive Innovations	0
Innova	Innovation First	0
Gant	Elegant Moments	0
Gant	Elegant Expressions	0
Link	D-Link	0
Link	Linksys	0
Link	Blink	0
Link	Slinky Brand	0
Link	Cypress Links	0
Link	TP-Link	0
Link	KDLINKS	0
Alexis	Alexis Brittar	1
Senso	Sensodyne	0
Pace	L*SPACE	0
Walter	Walter Hagen	0
InterAct	Disney Interactive	0
Schott	Schott Leather Jackets	0
G-Star	G-Star Raw	1
KaRa	Takara	0
KaRa	J Kara	0
KaRa	Tachikara	0
KaRa	Donna Karan	0
Horizon	Horizon Organic	0
Cardinal	Cardinal Industries	0
Cardinal	Cardinal of Canada	0
Shimano	Shimano Fishing	0
